ano_idx,exp_subspace
9,"[20, 21, 22, 23]"
32,"[6, 7]"
56,"[24, 25]"
68,"[4, 5]"
69,"[12, 13, 14]"
129,"[26, 27, 28, 29]"
135,"[24, 25]"
136,"[26, 27, 28, 29]"
145,"[12, 13, 14]"
150,"[12, 13, 14]"
176,"[8, 9, 10, 11]"
206,"[6, 7]"
213,"[20, 21, 22, 23]"
238,"[15, 16, 17, 18, 19]"
265,"[12, 13, 14]"
266,"[0, 1, 2, 3]"
304,"[24, 25]"
330,"[15, 16, 17, 18, 19]"
381,"[26, 27, 28, 29]"
396,"[15, 16, 17, 18, 19]"
423,"[20, 21, 22, 23]"
432,"[6, 7]"
458,"[4, 5]"
478,"[26, 27, 28, 29]"
480,"[8, 9, 10, 11]"
526,"[26, 27, 28, 29]"
528,"[20, 21, 22, 23]"
566,"[4, 5]"
634,"[8, 9, 10, 11]"
726,"[0, 1, 2, 3]"
743,"[8, 9, 10, 11]"
751,"[4, 5]"
782,"[20, 21, 22, 23]"
809,"[15, 16, 17, 18, 19]"
826,"[24, 25]"
845,"[12, 13, 14]"
867,"[4, 5]"
876,"[15, 16, 17, 18, 19]"
927,"[0, 1, 2, 3]"
939,"[6, 7]"
947,"[24, 25]"
954,"[8, 9, 10, 11]"
993,"[0, 1, 2, 3]"
