ano_idx,exp_subspace
33,"[36, 37, 38]"
37,"[61, 62, 63, 64]"
38,"[15, 16]"
53,"[69, 70, 71, 72]"
54,"[15, 16]"
56,"[67, 68]"
62,"[32, 33, 34, 35]"
83,"[65, 66]"
85,"[69, 70, 71, 72]"
90,"[55, 56]"
93,"[28, 29, 30, 31]"
106,"[73, 74]"
121,"[6, 7, 8, 9, 10]"
129,"[73, 74]"
139,"[6, 7, 8, 9, 10]"
152,"[2, 3, 4, 5]"
162,"[42, 43, 44, 45]"
167,"[69, 70, 71, 72]"
183,"[57, 58, 59, 60]"
199,"[55, 56]"
201,"[0, 1]"
217,"[0, 1]"
218,"[17, 18, 19, 20, 21]"
237,"[73, 74]"
239,"[42, 43, 44, 45]"
248,"[69, 70, 71, 72]"
257,"[6, 7, 8, 9, 10]"
260,"[42, 43, 44, 45]"
261,"[55, 56]"
273,"[36, 37, 38]"
274,"[61, 62, 63, 64]"
281,"[73, 74]"
285,"[2, 3, 4, 5]"
287,"[15, 16]"
307,"[61, 62, 63, 64]"
315,"[28, 29, 30, 31]"
316,"[0, 1]"
330,"[65, 66]"
346,"[0, 1]"
356,"[17, 18, 19, 20, 21]"
357,"[39, 40, 41]"
358,"[51, 52, 53, 54]"
364,"[48, 49, 50]"
368,"[24, 25, 26, 27]"
369,"[55, 56]"
395,"[39, 40, 41]"
398,"[61, 62, 63, 64]"
418,"[22, 23]"
426,"[57, 58, 59, 60]"
448,"[2, 3, 4, 5]"
459,"[24, 25, 26, 27]"
476,"[51, 52, 53, 54]"
491,"[46, 47]"
497,"[11, 12, 13, 14]"
527,"[36, 37, 38]"
549,"[57, 58, 59, 60]"
571,"[15, 16]"
574,"[57, 58, 59, 60]"
577,"[61, 62, 63, 64]"
591,"[28, 29, 30, 31]"
596,"[22, 23]"
597,"[36, 37, 38]"
614,"[11, 12, 13, 14]"
616,"[24, 25, 26, 27]"
618,"[24, 25, 26, 27]"
622,"[6, 7, 8, 9, 10]"
629,"[65, 66]"
631,"[22, 23]"
686,"[73, 74]"
697,"[57, 58, 59, 60]"
716,"[42, 43, 44, 45]"
717,"[2, 3, 4, 5]"
728,"[15, 16]"
730,"[46, 47]"
737,"[6, 7, 8, 9, 10]"
744,"[51, 52, 53, 54]"
770,"[48, 49, 50]"
789,"[11, 12, 13, 14]"
794,"[65, 66]"
795,"[51, 52, 53, 54]"
805,"[28, 29, 30, 31]"
806,"[32, 33, 34, 35]"
809,"[51, 52, 53, 54]"
831,"[36, 37, 38]"
846,"[39, 40, 41]"
850,"[69, 70, 71, 72]"
851,"[48, 49, 50]"
861,"[32, 33, 34, 35]"
868,"[67, 68]"
875,"[11, 12, 13, 14]"
891,"[39, 40, 41]"
895,"[67, 68]"
899,"[48, 49, 50]"
901,"[46, 47]"
903,"[39, 40, 41]"
919,"[32, 33, 34, 35]"
924,"[17, 18, 19, 20, 21]"
936,"[55, 56]"
938,"[17, 18, 19, 20, 21]"
947,"[2, 3, 4, 5]"
954,"[67, 68]"
972,"[67, 68]"
979,"[22, 23]"
980,"[46, 47]"
985,"[65, 66]"
986,"[24, 25, 26, 27]"
995,"[46, 47]"
