ano_idx,exp_subspace
0,"[24, 25, 26]"
1,"[21, 22, 23]"
8,"[5, 6]"
18,"[30, 31, 32, 33, 34]"
22,"[5, 6]"
37,"[69, 70]"
44,"[10, 11, 12, 13]"
47,"[2, 3, 4]"
54,"[27, 28, 29]"
69,"[46, 47, 48, 49]"
73,"[21, 22, 23]"
76,"[17, 18, 19, 20]"
79,"[27, 28, 29]"
120,"[62, 63, 64, 65]"
140,"[10, 11, 12, 13]"
161,"[71, 72, 73, 74]"
162,"[71, 72, 73, 74]"
188,"[69, 70]"
193,"[71, 72, 73, 74]"
197,"[14, 15, 16]"
198,"[10, 11, 12, 13]"
204,"[69, 70]"
209,"[0, 1]"
229,"[5, 6]"
234,"[7, 8, 9]"
242,"[46, 47, 48, 49]"
243,"[30, 31, 32, 33, 34]"
275,"[46, 47, 48, 49]"
278,"[10, 11, 12, 13]"
279,"[39, 40, 41, 42]"
283,"[5, 6]"
285,"[50, 51, 52, 53, 54]"
291,"[35, 36]"
292,"[2, 3, 4]"
294,"[7, 8, 9]"
295,"[27, 28, 29]"
296,"[7, 8, 9]"
301,"[35, 36]"
307,"[24, 25, 26]"
311,"[39, 40, 41, 42]"
325,"[37, 38]"
332,"[7, 8, 9]"
344,"[55, 56]"
348,"[57, 58, 59, 60, 61]"
357,"[43, 44, 45]"
360,"[21, 22, 23]"
377,"[14, 15, 16]"
385,"[46, 47, 48, 49]"
393,"[0, 1]"
398,"[27, 28, 29]"
408,"[57, 58, 59, 60, 61]"
409,"[55, 56]"
412,"[43, 44, 45]"
434,"[66, 67, 68]"
448,"[57, 58, 59, 60, 61]"
450,"[62, 63, 64, 65]"
454,"[43, 44, 45]"
488,"[0, 1]"
492,"[62, 63, 64, 65]"
509,"[24, 25, 26]"
514,"[66, 67, 68]"
516,"[55, 56]"
558,"[14, 15, 16]"
576,"[14, 15, 16]"
579,"[62, 63, 64, 65]"
590,"[50, 51, 52, 53, 54]"
595,"[30, 31, 32, 33, 34]"
608,"[21, 22, 23]"
614,"[2, 3, 4]"
617,"[0, 1]"
620,"[14, 15, 16]"
622,"[69, 70]"
633,"[66, 67, 68]"
640,"[27, 28, 29]"
686,"[50, 51, 52, 53, 54]"
693,"[30, 31, 32, 33, 34]"
697,"[46, 47, 48, 49]"
699,"[24, 25, 26]"
702,"[17, 18, 19, 20]"
703,"[21, 22, 23]"
711,"[17, 18, 19, 20]"
715,"[37, 38]"
724,"[30, 31, 32, 33, 34]"
727,"[0, 1]"
749,"[35, 36]"
762,"[35, 36]"
767,"[69, 70]"
768,"[35, 36]"
778,"[50, 51, 52, 53, 54]"
806,"[43, 44, 45]"
815,"[55, 56]"
827,"[2, 3, 4]"
828,"[37, 38]"
832,"[39, 40, 41, 42]"
845,"[10, 11, 12, 13]"
846,"[37, 38]"
853,"[66, 67, 68]"
875,"[71, 72, 73, 74]"
896,"[57, 58, 59, 60, 61]"
906,"[24, 25, 26]"
920,"[66, 67, 68]"
946,"[2, 3, 4]"
952,"[17, 18, 19, 20]"
953,"[39, 40, 41, 42]"
968,"[17, 18, 19, 20]"
977,"[62, 63, 64, 65]"
983,"[37, 38]"
