ano_idx,exp_subspace
3,"[18, 19]"
17,"[40, 41, 42]"
20,"[67, 68, 69, 70, 71]"
33,"[11, 12]"
52,"[20, 21, 22, 23, 24]"
55,"[67, 68, 69, 70, 71]"
61,"[30, 31, 32, 33]"
66,"[34, 35, 36, 37]"
69,"[6, 7, 8]"
75,"[34, 35, 36, 37]"
94,"[40, 41, 42]"
95,"[25, 26, 27, 28, 29]"
98,"[18, 19]"
99,"[11, 12]"
112,"[25, 26, 27, 28, 29]"
126,"[48, 49, 50, 51]"
134,"[52, 53, 54]"
136,"[34, 35, 36, 37]"
143,"[25, 26, 27, 28, 29]"
145,"[0, 1]"
170,"[52, 53, 54]"
174,"[38, 39]"
180,"[65, 66]"
183,"[45, 46, 47]"
201,"[20, 21, 22, 23, 24]"
207,"[11, 12]"
210,"[30, 31, 32, 33]"
214,"[9, 10]"
223,"[72, 73, 74]"
226,"[43, 44]"
231,"[9, 10]"
236,"[38, 39]"
256,"[18, 19]"
264,"[67, 68, 69, 70, 71]"
272,"[43, 44]"
273,"[30, 31, 32, 33]"
275,"[45, 46, 47]"
293,"[55, 56, 57, 58, 59]"
296,"[9, 10]"
302,"[52, 53, 54]"
343,"[55, 56, 57, 58, 59]"
345,"[72, 73, 74]"
358,"[13, 14, 15, 16, 17]"
375,"[38, 39]"
383,"[65, 66]"
396,"[67, 68, 69, 70, 71]"
401,"[2, 3, 4, 5]"
408,"[65, 66]"
428,"[2, 3, 4, 5]"
444,"[9, 10]"
445,"[52, 53, 54]"
456,"[55, 56, 57, 58, 59]"
464,"[30, 31, 32, 33]"
468,"[72, 73, 74]"
469,"[60, 61, 62, 63, 64]"
488,"[38, 39]"
494,"[2, 3, 4, 5]"
499,"[43, 44]"
502,"[60, 61, 62, 63, 64]"
505,"[38, 39]"
520,"[72, 73, 74]"
526,"[40, 41, 42]"
538,"[25, 26, 27, 28, 29]"
540,"[13, 14, 15, 16, 17]"
554,"[13, 14, 15, 16, 17]"
560,"[48, 49, 50, 51]"
595,"[18, 19]"
601,"[43, 44]"
608,"[25, 26, 27, 28, 29]"
612,"[60, 61, 62, 63, 64]"
621,"[11, 12]"
623,"[45, 46, 47]"
628,"[55, 56, 57, 58, 59]"
644,"[34, 35, 36, 37]"
645,"[48, 49, 50, 51]"
683,"[65, 66]"
703,"[40, 41, 42]"
713,"[60, 61, 62, 63, 64]"
725,"[20, 21, 22, 23, 24]"
734,"[40, 41, 42]"
742,"[2, 3, 4, 5]"
743,"[48, 49, 50, 51]"
753,"[6, 7, 8]"
776,"[72, 73, 74]"
778,"[13, 14, 15, 16, 17]"
781,"[52, 53, 54]"
784,"[55, 56, 57, 58, 59]"
807,"[2, 3, 4, 5]"
821,"[18, 19]"
824,"[6, 7, 8]"
828,"[6, 7, 8]"
830,"[30, 31, 32, 33]"
833,"[45, 46, 47]"
840,"[20, 21, 22, 23, 24]"
843,"[9, 10]"
871,"[48, 49, 50, 51]"
876,"[67, 68, 69, 70, 71]"
886,"[0, 1]"
910,"[43, 44]"
917,"[45, 46, 47]"
927,"[0, 1]"
930,"[65, 66]"
942,"[20, 21, 22, 23, 24]"
943,"[11, 12]"
944,"[60, 61, 62, 63, 64]"
955,"[34, 35, 36, 37]"
979,"[0, 1]"
983,"[13, 14, 15, 16, 17]"
992,"[6, 7, 8]"
999,"[0, 1]"
