ano_idx,exp_subspace
3,"[78, 79, 80, 81, 82]"
14,"[92, 93, 94, 95, 96]"
16,"[12, 13, 14, 15, 16]"
35,"[49, 50, 51, 52]"
36,"[78, 79, 80, 81, 82]"
45,"[55, 56, 57]"
56,"[33, 34, 35]"
61,"[5, 6, 7, 8, 9]"
74,"[75, 76, 77]"
79,"[17, 18]"
87,"[88, 89, 90, 91]"
90,"[24, 25]"
97,"[17, 18]"
102,"[10, 11]"
109,"[45, 46, 47, 48]"
127,"[68, 69]"
137,"[88, 89, 90, 91]"
142,"[75, 76, 77]"
144,"[36, 37, 38, 39]"
145,"[12, 13, 14, 15, 16]"
159,"[55, 56, 57]"
164,"[63, 64, 65]"
171,"[0, 1, 2, 3, 4]"
186,"[17, 18]"
193,"[75, 76, 77]"
199,"[55, 56, 57]"
208,"[68, 69]"
212,"[58, 59, 60, 61, 62]"
215,"[45, 46, 47, 48]"
221,"[92, 93, 94, 95, 96]"
227,"[85, 86, 87]"
231,"[83, 84]"
236,"[12, 13, 14, 15, 16]"
245,"[33, 34, 35]"
254,"[43, 44]"
261,"[49, 50, 51, 52]"
272,"[12, 13, 14, 15, 16]"
294,"[53, 54]"
297,"[0, 1, 2, 3, 4]"
310,"[55, 56, 57]"
318,"[53, 54]"
342,"[58, 59, 60, 61, 62]"
345,"[30, 31, 32]"
361,"[19, 20, 21, 22, 23]"
373,"[63, 64, 65]"
378,"[70, 71, 72, 73, 74]"
405,"[66, 67]"
424,"[5, 6, 7, 8, 9]"
428,"[17, 18]"
430,"[85, 86, 87]"
432,"[53, 54]"
446,"[75, 76, 77]"
447,"[58, 59, 60, 61, 62]"
448,"[49, 50, 51, 52]"
455,"[70, 71, 72, 73, 74]"
460,"[43, 44]"
463,"[63, 64, 65]"
464,"[40, 41, 42]"
471,"[58, 59, 60, 61, 62]"
481,"[53, 54]"
484,"[58, 59, 60, 61, 62]"
488,"[45, 46, 47, 48]"
493,"[5, 6, 7, 8, 9]"
513,"[83, 84]"
514,"[68, 69]"
529,"[33, 34, 35]"
546,"[83, 84]"
550,"[26, 27, 28, 29]"
565,"[5, 6, 7, 8, 9]"
566,"[30, 31, 32]"
577,"[40, 41, 42]"
580,"[43, 44]"
602,"[17, 18]"
613,"[40, 41, 42]"
617,"[88, 89, 90, 91]"
627,"[33, 34, 35]"
632,"[26, 27, 28, 29]"
638,"[19, 20, 21, 22, 23]"
642,"[97, 98, 99]"
643,"[0, 1, 2, 3, 4]"
646,"[40, 41, 42]"
649,"[85, 86, 87]"
656,"[97, 98, 99]"
658,"[70, 71, 72, 73, 74]"
663,"[30, 31, 32]"
666,"[36, 37, 38, 39]"
670,"[66, 67]"
672,"[43, 44]"
676,"[24, 25]"
687,"[55, 56, 57]"
699,"[88, 89, 90, 91]"
705,"[45, 46, 47, 48]"
711,"[36, 37, 38, 39]"
721,"[92, 93, 94, 95, 96]"
732,"[78, 79, 80, 81, 82]"
742,"[63, 64, 65]"
744,"[97, 98, 99]"
757,"[26, 27, 28, 29]"
765,"[53, 54]"
768,"[24, 25]"
769,"[19, 20, 21, 22, 23]"
772,"[88, 89, 90, 91]"
780,"[10, 11]"
786,"[0, 1, 2, 3, 4]"
792,"[70, 71, 72, 73, 74]"
804,"[45, 46, 47, 48]"
805,"[68, 69]"
810,"[43, 44]"
820,"[66, 67]"
832,"[92, 93, 94, 95, 96]"
856,"[40, 41, 42]"
858,"[63, 64, 65]"
859,"[66, 67]"
873,"[85, 86, 87]"
885,"[36, 37, 38, 39]"
889,"[83, 84]"
891,"[10, 11]"
900,"[78, 79, 80, 81, 82]"
902,"[97, 98, 99]"
905,"[5, 6, 7, 8, 9]"
910,"[26, 27, 28, 29]"
934,"[92, 93, 94, 95, 96]"
951,"[49, 50, 51, 52]"
968,"[97, 98, 99]"
974,"[19, 20, 21, 22, 23]"
975,"[33, 34, 35]"
976,"[78, 79, 80, 81, 82]"
985,"[70, 71, 72, 73, 74]"
