ano_idx,exp_subspace
33,"[0, 1, 2]"
35,"[10, 11, 12, 13, 14]"
46,"[22, 23, 24, 25]"
73,"[20, 21]"
88,"[0, 1, 2]"
137,"[15, 16, 17, 18, 19]"
226,"[20, 21]"
267,"[6, 7, 8, 9]"
281,"[22, 23, 24, 25]"
292,"[22, 23, 24, 25]"
308,"[3, 4, 5]"
309,"[0, 1, 2]"
323,"[26, 27, 28, 29]"
333,"[26, 27, 28, 29]"
389,"[10, 11, 12, 13, 14]"
422,"[10, 11, 12, 13, 14]"
508,"[3, 4, 5]"
528,"[10, 11, 12, 13, 14]"
538,"[15, 16, 17, 18, 19]"
547,"[26, 27, 28, 29]"
572,"[3, 4, 5]"
573,"[15, 16, 17, 18, 19]"
581,"[26, 27, 28, 29]"
597,"[3, 4, 5]"
608,"[15, 16, 17, 18, 19]"
621,"[6, 7, 8, 9]"
770,"[10, 11, 12, 13, 14]"
775,"[20, 21]"
829,"[6, 7, 8, 9]"
845,"[6, 7, 8, 9]"
924,"[26, 27, 28, 29]"
945,"[22, 23, 24, 25]"
985,"[20, 21]"
