ano_idx,exp_subspace
34,"[11, 12, 13, 14, 15]"
90,"[33, 34, 35]"
116,"[24, 25, 26, 27]"
122,"[4, 5, 6]"
123,"[36, 37, 38, 39]"
130,"[11, 12, 13, 14, 15]"
132,"[28, 29, 30, 31, 32]"
137,"[36, 37, 38, 39]"
139,"[11, 12, 13, 14, 15]"
182,"[33, 34, 35]"
205,"[4, 5, 6]"
232,"[11, 12, 13, 14, 15]"
243,"[7, 8, 9, 10]"
244,"[0, 1, 2, 3]"
252,"[24, 25, 26, 27]"
260,"[16, 17, 18, 19]"
294,"[4, 5, 6]"
300,"[20, 21, 22, 23]"
333,"[11, 12, 13, 14, 15]"
341,"[20, 21, 22, 23]"
358,"[0, 1, 2, 3]"
377,"[16, 17, 18, 19]"
441,"[20, 21, 22, 23]"
461,"[36, 37, 38, 39]"
473,"[0, 1, 2, 3]"
522,"[20, 21, 22, 23]"
531,"[36, 37, 38, 39]"
544,"[28, 29, 30, 31, 32]"
562,"[7, 8, 9, 10]"
581,"[4, 5, 6]"
583,"[7, 8, 9, 10]"
589,"[7, 8, 9, 10]"
605,"[33, 34, 35]"
624,"[20, 21, 22, 23]"
625,"[16, 17, 18, 19]"
692,"[36, 37, 38, 39]"
699,"[28, 29, 30, 31, 32]"
708,"[24, 25, 26, 27]"
720,"[0, 1, 2, 3]"
736,"[33, 34, 35]"
747,"[28, 29, 30, 31, 32]"
765,"[24, 25, 26, 27]"
768,"[16, 17, 18, 19]"
784,"[16, 17, 18, 19]"
793,"[33, 34, 35]"
807,"[28, 29, 30, 31, 32]"
863,"[24, 25, 26, 27]"
883,"[4, 5, 6]"
922,"[7, 8, 9, 10]"
965,"[0, 1, 2, 3]"
