ano_idx,exp_subspace
49,"[44, 45, 46, 47]"
75,"[28, 29, 30, 31, 32]"
80,"[37, 38, 39, 40]"
83,"[37, 38, 39, 40]"
92,"[9, 10, 11, 12]"
106,"[41, 42, 43]"
109,"[9, 10, 11, 12]"
111,"[41, 42, 43]"
113,"[33, 34, 35, 36]"
121,"[21, 22, 23]"
147,"[26, 27]"
166,"[24, 25]"
171,"[28, 29, 30, 31, 32]"
200,"[13, 14, 15]"
212,"[9, 10, 11, 12]"
239,"[13, 14, 15]"
248,"[13, 14, 15]"
262,"[9, 10, 11, 12]"
265,"[9, 10, 11, 12]"
268,"[24, 25]"
269,"[41, 42, 43]"
308,"[24, 25]"
378,"[16, 17, 18, 19, 20]"
394,"[28, 29, 30, 31, 32]"
426,"[5, 6, 7, 8]"
434,"[0, 1, 2, 3, 4]"
459,"[26, 27]"
472,"[16, 17, 18, 19, 20]"
476,"[33, 34, 35, 36]"
478,"[37, 38, 39, 40]"
480,"[0, 1, 2, 3, 4]"
481,"[44, 45, 46, 47]"
488,"[5, 6, 7, 8]"
495,"[28, 29, 30, 31, 32]"
497,"[24, 25]"
510,"[24, 25]"
526,"[0, 1, 2, 3, 4]"
528,"[33, 34, 35, 36]"
573,"[37, 38, 39, 40]"
598,"[21, 22, 23]"
608,"[21, 22, 23]"
659,"[26, 27]"
667,"[33, 34, 35, 36]"
676,"[21, 22, 23]"
730,"[44, 45, 46, 47]"
734,"[13, 14, 15]"
741,"[48, 49]"
776,"[44, 45, 46, 47]"
786,"[41, 42, 43]"
808,"[0, 1, 2, 3, 4]"
825,"[48, 49]"
829,"[0, 1, 2, 3, 4]"
845,"[26, 27]"
859,"[21, 22, 23]"
864,"[33, 34, 35, 36]"
868,"[16, 17, 18, 19, 20]"
869,"[44, 45, 46, 47]"
873,"[13, 14, 15]"
883,"[48, 49]"
886,"[41, 42, 43]"
910,"[5, 6, 7, 8]"
921,"[48, 49]"
953,"[37, 38, 39, 40]"
983,"[5, 6, 7, 8]"
986,"[16, 17, 18, 19, 20]"
994,"[48, 49]"
