ano_idx,exp_subspace
10,"[0, 1, 2]"
35,"[18, 19]"
39,"[3, 4, 5, 6]"
44,"[3, 4, 5, 6]"
53,"[14, 15]"
102,"[3, 4, 5, 6]"
106,"[12, 13]"
138,"[0, 1, 2]"
151,"[7, 8, 9, 10, 11]"
181,"[16, 17]"
184,"[0, 1, 2]"
245,"[12, 13]"
262,"[14, 15]"
270,"[0, 1, 2]"
287,"[12, 13]"
338,"[16, 17]"
377,"[14, 15]"
441,"[18, 19]"
451,"[12, 13]"
467,"[7, 8, 9, 10, 11]"
493,"[16, 17]"
525,"[18, 19]"
554,"[12, 13]"
622,"[14, 15]"
709,"[7, 8, 9, 10, 11]"
726,"[7, 8, 9, 10, 11]"
754,"[18, 19]"
800,"[16, 17]"
806,"[18, 19]"
816,"[14, 15]"
844,"[3, 4, 5, 6]"
889,"[16, 17]"
964,"[3, 4, 5, 6]"
966,"[0, 1, 2]"
996,"[7, 8, 9, 10, 11]"
