ano_idx,exp_subspace
43,"[0, 1, 2]"
47,"[8, 9, 10, 11, 12]"
55,"[8, 9, 10, 11, 12]"
70,"[3, 4, 5, 6, 7]"
86,"[18, 19]"
104,"[13, 14, 15, 16, 17]"
157,"[0, 1, 2]"
288,"[0, 1, 2]"
329,"[8, 9, 10, 11, 12]"
335,"[3, 4, 5, 6, 7]"
383,"[3, 4, 5, 6, 7]"
451,"[18, 19]"
525,"[3, 4, 5, 6, 7]"
665,"[0, 1, 2]"
705,"[18, 19]"
706,"[8, 9, 10, 11, 12]"
747,"[8, 9, 10, 11, 12]"
790,"[13, 14, 15, 16, 17]"
795,"[13, 14, 15, 16, 17]"
864,"[13, 14, 15, 16, 17]"
873,"[18, 19]"
878,"[0, 1, 2]"
936,"[3, 4, 5, 6, 7]"
942,"[18, 19]"
959,"[13, 14, 15, 16, 17]"
