ano_idx,exp_subspace
0,"[7, 8]"
43,"[25, 26]"
49,"[2, 3, 4, 5, 6]"
62,"[2, 3, 4, 5, 6]"
87,"[27, 28, 29]"
103,"[7, 8]"
159,"[7, 8]"
175,"[16, 17, 18, 19]"
188,"[0, 1]"
257,"[2, 3, 4, 5, 6]"
273,"[27, 28, 29]"
274,"[12, 13, 14, 15]"
330,"[25, 26]"
354,"[0, 1]"
409,"[27, 28, 29]"
410,"[7, 8]"
411,"[12, 13, 14, 15]"
433,"[27, 28, 29]"
440,"[20, 21, 22, 23, 24]"
450,"[12, 13, 14, 15]"
454,"[20, 21, 22, 23, 24]"
458,"[9, 10, 11]"
481,"[25, 26]"
491,"[20, 21, 22, 23, 24]"
496,"[9, 10, 11]"
534,"[16, 17, 18, 19]"
583,"[0, 1]"
598,"[0, 1]"
666,"[2, 3, 4, 5, 6]"
691,"[16, 17, 18, 19]"
706,"[2, 3, 4, 5, 6]"
729,"[9, 10, 11]"
730,"[12, 13, 14, 15]"
762,"[0, 1]"
763,"[16, 17, 18, 19]"
828,"[12, 13, 14, 15]"
836,"[16, 17, 18, 19]"
882,"[7, 8]"
918,"[9, 10, 11]"
928,"[25, 26]"
929,"[20, 21, 22, 23, 24]"
949,"[27, 28, 29]"
997,"[20, 21, 22, 23, 24]"
