ano_idx,exp_subspace
61,"[22, 23, 24, 25, 26]"
70,"[30, 31, 32]"
77,"[33, 34, 35]"
115,"[36, 37]"
125,"[0, 1, 2, 3, 4]"
146,"[14, 15, 16, 17]"
152,"[36, 37]"
163,"[33, 34, 35]"
172,"[22, 23, 24, 25, 26]"
194,"[38, 39, 40, 41]"
215,"[27, 28, 29]"
227,"[22, 23, 24, 25, 26]"
231,"[36, 37]"
242,"[0, 1, 2, 3, 4]"
247,"[27, 28, 29]"
290,"[36, 37]"
310,"[14, 15, 16, 17]"
316,"[22, 23, 24, 25, 26]"
325,"[42, 43, 44, 45, 46]"
336,"[18, 19, 20, 21]"
354,"[0, 1, 2, 3, 4]"
359,"[9, 10, 11]"
367,"[27, 28, 29]"
398,"[9, 10, 11]"
408,"[47, 48, 49]"
413,"[14, 15, 16, 17]"
421,"[18, 19, 20, 21]"
430,"[5, 6, 7, 8]"
454,"[0, 1, 2, 3, 4]"
458,"[38, 39, 40, 41]"
462,"[5, 6, 7, 8]"
490,"[38, 39, 40, 41]"
503,"[9, 10, 11]"
505,"[9, 10, 11]"
527,"[0, 1, 2, 3, 4]"
530,"[5, 6, 7, 8]"
535,"[14, 15, 16, 17]"
596,"[9, 10, 11]"
615,"[27, 28, 29]"
617,"[42, 43, 44, 45, 46]"
644,"[47, 48, 49]"
683,"[5, 6, 7, 8]"
692,"[27, 28, 29]"
693,"[18, 19, 20, 21]"
745,"[38, 39, 40, 41]"
746,"[18, 19, 20, 21]"
775,"[47, 48, 49]"
783,"[33, 34, 35]"
794,"[22, 23, 24, 25, 26]"
799,"[12, 13]"
825,"[47, 48, 49]"
832,"[30, 31, 32]"
838,"[12, 13]"
841,"[12, 13]"
866,"[30, 31, 32]"
898,"[42, 43, 44, 45, 46]"
901,"[47, 48, 49]"
912,"[36, 37]"
920,"[12, 13]"
921,"[33, 34, 35]"
922,"[18, 19, 20, 21]"
936,"[14, 15, 16, 17]"
953,"[42, 43, 44, 45, 46]"
964,"[12, 13]"
972,"[33, 34, 35]"
984,"[30, 31, 32]"
