ano_idx,exp_subspace
8,"[5, 6, 7, 8, 9]"
32,"[18, 19]"
42,"[0, 1, 2, 3, 4]"
185,"[10, 11, 12]"
234,"[5, 6, 7, 8, 9]"
342,"[13, 14, 15]"
389,"[10, 11, 12]"
431,"[16, 17]"
435,"[10, 11, 12]"
527,"[0, 1, 2, 3, 4]"
548,"[18, 19]"
550,"[5, 6, 7, 8, 9]"
603,"[0, 1, 2, 3, 4]"
618,"[0, 1, 2, 3, 4]"
651,"[18, 19]"
675,"[16, 17]"
679,"[5, 6, 7, 8, 9]"
684,"[10, 11, 12]"
741,"[16, 17]"
749,"[13, 14, 15]"
770,"[13, 14, 15]"
787,"[13, 14, 15]"
813,"[18, 19]"
885,"[10, 11, 12]"
902,"[13, 14, 15]"
929,"[16, 17]"
938,"[5, 6, 7, 8, 9]"
977,"[16, 17]"
