ano_idx,exp_subspace
27,"[0, 1, 2]"
44,"[18, 19]"
51,"[3, 4, 5, 6, 7]"
73,"[31, 32, 33, 34]"
92,"[8, 9, 10, 11, 12]"
93,"[20, 21, 22, 23]"
97,"[28, 29, 30]"
125,"[28, 29, 30]"
155,"[26, 27]"
172,"[3, 4, 5, 6, 7]"
173,"[8, 9, 10, 11, 12]"
196,"[26, 27]"
198,"[13, 14, 15, 16, 17]"
211,"[26, 27]"
248,"[13, 14, 15, 16, 17]"
283,"[31, 32, 33, 34]"
297,"[3, 4, 5, 6, 7]"
317,"[31, 32, 33, 34]"
331,"[8, 9, 10, 11, 12]"
335,"[20, 21, 22, 23]"
336,"[0, 1, 2]"
344,"[35, 36, 37, 38, 39]"
407,"[20, 21, 22, 23]"
420,"[28, 29, 30]"
434,"[13, 14, 15, 16, 17]"
435,"[18, 19]"
459,"[35, 36, 37, 38, 39]"
469,"[35, 36, 37, 38, 39]"
484,"[8, 9, 10, 11, 12]"
487,"[13, 14, 15, 16, 17]"
534,"[0, 1, 2]"
560,"[24, 25]"
566,"[28, 29, 30]"
583,"[13, 14, 15, 16, 17]"
596,"[35, 36, 37, 38, 39]"
615,"[24, 25]"
628,"[3, 4, 5, 6, 7]"
669,"[26, 27]"
722,"[24, 25]"
749,"[18, 19]"
768,"[18, 19]"
790,"[24, 25]"
796,"[3, 4, 5, 6, 7]"
832,"[28, 29, 30]"
836,"[35, 36, 37, 38, 39]"
854,"[8, 9, 10, 11, 12]"
863,"[0, 1, 2]"
915,"[31, 32, 33, 34]"
939,"[26, 27]"
965,"[20, 21, 22, 23]"
980,"[24, 25]"
