ano_idx,exp_subspace
2,"[23, 24, 25]"
3,"[57, 58, 59, 60]"
9,"[35, 36]"
19,"[74, 75, 76, 77]"
20,"[13, 14, 15, 16, 17]"
23,"[39, 40]"
26,"[72, 73]"
46,"[21, 22]"
48,"[35, 36]"
52,"[74, 75, 76, 77]"
61,"[50, 51, 52, 53]"
75,"[66, 67]"
80,"[86, 87, 88, 89, 90]"
106,"[18, 19, 20]"
113,"[26, 27, 28, 29]"
114,"[57, 58, 59, 60]"
123,"[11, 12]"
136,"[6, 7, 8, 9, 10]"
139,"[46, 47, 48, 49]"
157,"[0, 1]"
199,"[66, 67]"
205,"[57, 58, 59, 60]"
211,"[18, 19, 20]"
218,"[35, 36]"
220,"[13, 14, 15, 16, 17]"
225,"[13, 14, 15, 16, 17]"
234,"[94, 95, 96]"
236,"[74, 75, 76, 77]"
249,"[2, 3, 4, 5]"
253,"[50, 51, 52, 53]"
255,"[44, 45]"
256,"[21, 22]"
267,"[80, 81]"
283,"[41, 42, 43]"
290,"[82, 83, 84, 85]"
296,"[37, 38]"
297,"[66, 67]"
307,"[11, 12]"
313,"[57, 58, 59, 60]"
317,"[80, 81]"
322,"[35, 36]"
326,"[39, 40]"
329,"[11, 12]"
334,"[72, 73]"
335,"[18, 19, 20]"
340,"[57, 58, 59, 60]"
350,"[86, 87, 88, 89, 90]"
351,"[41, 42, 43]"
356,"[91, 92, 93]"
359,"[2, 3, 4, 5]"
367,"[46, 47, 48, 49]"
373,"[30, 31, 32, 33, 34]"
375,"[39, 40]"
376,"[61, 62, 63, 64, 65]"
383,"[0, 1]"
392,"[30, 31, 32, 33, 34]"
397,"[30, 31, 32, 33, 34]"
417,"[13, 14, 15, 16, 17]"
423,"[26, 27, 28, 29]"
428,"[39, 40]"
433,"[97, 98, 99]"
438,"[26, 27, 28, 29]"
439,"[80, 81]"
454,"[91, 92, 93]"
472,"[61, 62, 63, 64, 65]"
475,"[72, 73]"
476,"[44, 45]"
490,"[78, 79]"
495,"[78, 79]"
502,"[97, 98, 99]"
505,"[18, 19, 20]"
509,"[2, 3, 4, 5]"
510,"[30, 31, 32, 33, 34]"
512,"[41, 42, 43]"
521,"[50, 51, 52, 53]"
529,"[91, 92, 93]"
538,"[46, 47, 48, 49]"
539,"[82, 83, 84, 85]"
541,"[41, 42, 43]"
553,"[6, 7, 8, 9, 10]"
555,"[0, 1]"
570,"[11, 12]"
579,"[61, 62, 63, 64, 65]"
588,"[72, 73]"
590,"[91, 92, 93]"
597,"[86, 87, 88, 89, 90]"
608,"[0, 1]"
618,"[61, 62, 63, 64, 65]"
638,"[91, 92, 93]"
644,"[6, 7, 8, 9, 10]"
645,"[46, 47, 48, 49]"
654,"[39, 40]"
686,"[94, 95, 96]"
690,"[54, 55, 56]"
693,"[74, 75, 76, 77]"
698,"[86, 87, 88, 89, 90]"
701,"[21, 22]"
703,"[68, 69, 70, 71]"
705,"[37, 38]"
711,"[66, 67]"
722,"[66, 67]"
724,"[37, 38]"
725,"[26, 27, 28, 29]"
740,"[35, 36]"
741,"[54, 55, 56]"
758,"[6, 7, 8, 9, 10]"
764,"[94, 95, 96]"
782,"[61, 62, 63, 64, 65]"
788,"[44, 45]"
793,"[97, 98, 99]"
812,"[68, 69, 70, 71]"
818,"[18, 19, 20]"
824,"[54, 55, 56]"
839,"[82, 83, 84, 85]"
865,"[2, 3, 4, 5]"
898,"[11, 12]"
904,"[78, 79]"
906,"[41, 42, 43]"
910,"[68, 69, 70, 71]"
916,"[86, 87, 88, 89, 90]"
921,"[46, 47, 48, 49]"
922,"[37, 38]"
924,"[97, 98, 99]"
934,"[68, 69, 70, 71]"
935,"[97, 98, 99]"
942,"[50, 51, 52, 53]"
946,"[78, 79]"
948,"[13, 14, 15, 16, 17]"
950,"[50, 51, 52, 53]"
980,"[80, 81]"
984,"[54, 55, 56]"
987,"[0, 1]"
