ano_idx,exp_subspace
15,"[47, 48, 49]"
34,"[19, 20]"
45,"[37, 38, 39, 40, 41]"
67,"[4, 5]"
86,"[42, 43]"
87,"[10, 11, 12, 13, 14]"
117,"[42, 43]"
122,"[37, 38, 39, 40, 41]"
136,"[19, 20]"
147,"[34, 35, 36]"
159,"[29, 30, 31, 32, 33]"
168,"[6, 7, 8, 9]"
189,"[47, 48, 49]"
192,"[47, 48, 49]"
194,"[25, 26, 27, 28]"
203,"[47, 48, 49]"
244,"[29, 30, 31, 32, 33]"
268,"[34, 35, 36]"
273,"[0, 1, 2, 3]"
300,"[29, 30, 31, 32, 33]"
309,"[4, 5]"
323,"[6, 7, 8, 9]"
333,"[10, 11, 12, 13, 14]"
334,"[44, 45, 46]"
357,"[0, 1, 2, 3]"
376,"[44, 45, 46]"
384,"[44, 45, 46]"
399,"[6, 7, 8, 9]"
456,"[25, 26, 27, 28]"
464,"[21, 22, 23, 24]"
465,"[21, 22, 23, 24]"
501,"[15, 16, 17, 18]"
502,"[34, 35, 36]"
508,"[37, 38, 39, 40, 41]"
518,"[34, 35, 36]"
545,"[21, 22, 23, 24]"
559,"[4, 5]"
579,"[4, 5]"
580,"[21, 22, 23, 24]"
598,"[6, 7, 8, 9]"
628,"[10, 11, 12, 13, 14]"
659,"[15, 16, 17, 18]"
689,"[25, 26, 27, 28]"
720,"[0, 1, 2, 3]"
747,"[29, 30, 31, 32, 33]"
758,"[44, 45, 46]"
773,"[0, 1, 2, 3]"
784,"[25, 26, 27, 28]"
790,"[42, 43]"
802,"[47, 48, 49]"
818,"[6, 7, 8, 9]"
828,"[15, 16, 17, 18]"
835,"[29, 30, 31, 32, 33]"
842,"[37, 38, 39, 40, 41]"
845,"[25, 26, 27, 28]"
882,"[42, 43]"
883,"[19, 20]"
923,"[42, 43]"
925,"[19, 20]"
933,"[19, 20]"
949,"[44, 45, 46]"
968,"[4, 5]"
984,"[0, 1, 2, 3]"
994,"[34, 35, 36]"
