ano_idx,exp_subspace
10,"[37, 38, 39]"
26,"[0, 1]"
44,"[30, 31, 32, 33, 34]"
60,"[8, 9, 10, 11, 12]"
94,"[13, 14, 15, 16, 17]"
121,"[8, 9, 10, 11, 12]"
126,"[2, 3, 4]"
158,"[5, 6, 7]"
165,"[26, 27]"
188,"[18, 19, 20]"
192,"[35, 36]"
240,"[2, 3, 4]"
244,"[0, 1]"
252,"[2, 3, 4]"
261,"[2, 3, 4]"
278,"[37, 38, 39]"
294,"[21, 22, 23, 24, 25]"
309,"[26, 27]"
317,"[28, 29]"
323,"[0, 1]"
371,"[5, 6, 7]"
393,"[13, 14, 15, 16, 17]"
418,"[18, 19, 20]"
445,"[21, 22, 23, 24, 25]"
476,"[28, 29]"
477,"[5, 6, 7]"
482,"[35, 36]"
492,"[5, 6, 7]"
493,"[21, 22, 23, 24, 25]"
498,"[13, 14, 15, 16, 17]"
514,"[30, 31, 32, 33, 34]"
564,"[21, 22, 23, 24, 25]"
596,"[26, 27]"
602,"[30, 31, 32, 33, 34]"
619,"[30, 31, 32, 33, 34]"
637,"[18, 19, 20]"
643,"[0, 1]"
653,"[8, 9, 10, 11, 12]"
697,"[18, 19, 20]"
712,"[2, 3, 4]"
766,"[0, 1]"
768,"[35, 36]"
786,"[8, 9, 10, 11, 12]"
803,"[13, 14, 15, 16, 17]"
825,"[37, 38, 39]"
858,"[28, 29]"
868,"[18, 19, 20]"
876,"[35, 36]"
878,"[13, 14, 15, 16, 17]"
890,"[8, 9, 10, 11, 12]"
897,"[37, 38, 39]"
962,"[28, 29]"
968,"[30, 31, 32, 33, 34]"
983,"[26, 27]"
